configuration_id,src_tap,dst_tap,finite,fit_rank,cond,rel_residual_ls,rel_residual_orth,native_dev_tf_exact,transfer_dev_tf_exact,aligned_ls_dev_tf_exact,aligned_orth_dev_tf_exact,recovery_ls,recovery_orth,residual_loss_ls,residual_loss_orth,verdict
L18_SEED_2_CONTROL,b04_AFTER_ATTN,b04_AFTER_FFN,true,16,1.20158e+06,0.00665877,0.1698,103,116,67,115,0,0.923077,49,1,INFORMATION_LOSS
L18_SEED_2_CONTROL,b04_AFTER_FFN,b05_AFTER_ATTN,true,16,393582,0.00403579,0.083484,103,101,76,101,0,0,25,0,INFORMATION_LOSS
L18_SEED_2_CONTROL,b05_AFTER_ATTN,b05_AFTER_FFN,true,16,522772,0.00511365,0.189447,102,91,91,101,0,0,0,-10,MIXED
L18_SEED_2_CONTROL,b05_AFTER_FFN,b06_AFTER_ATTN,true,16,440732,0.00365818,0.0787013,93,100,78,98,0,0.714286,22,2,INFORMATION_LOSS
L18_SEED_2_CONTROL,b06_AFTER_ATTN,b06_AFTER_FFN,true,16,261096,0.00356049,0.195179,96,101,60,101,0,1,41,0,INFORMATION_LOSS
L18_SEED_2_CONTROL,b06_AFTER_FFN,b07_AFTER_ATTN,true,16,376631,0.00258164,0.0536351,92,101,62,99,0,0.777778,39,2,INFORMATION_LOSS
L18_SEED_2_CONTROL,b07_AFTER_ATTN,b07_AFTER_FFN,true,16,742457,0.00365934,0.140028,92,92,50,92,0,0,42,0,INFORMATION_LOSS
L18_SEED_2_CONTROL,b07_AFTER_FFN,b08_AFTER_ATTN,true,16,2.17434e+06,0.00435281,0.0647009,91,90,61,89,0,0,29,1,INFORMATION_LOSS
L18_SEED_2_CONTROL,b08_AFTER_ATTN,b08_AFTER_FFN,true,16,1.2318e+06,0.0066729,0.140793,91,99,40,92,0,0.125,59,7,INFORMATION_LOSS
L18_SEED_2_CONTROL,b08_AFTER_FFN,b09_AFTER_ATTN,true,16,1.63275e+06,0.00266943,0.0360494,91,88,97,100,0,0,-9,-12,MIXED
L18_SEED_2_CONTROL,b09_AFTER_ATTN,b09_AFTER_FFN,true,16,1.40763e+06,0.00253033,0.104016,91,97,48,92,0,0.166667,49,5,INFORMATION_LOSS
L18_SEED_2_CONTROL,b09_AFTER_FFN,b10_AFTER_ATTN,true,16,2.08941e+06,0.00225537,0.0417682,92,91,73,97,0,0,18,-6,INFORMATION_LOSS
L18_SEED_2_CONTROL,b10_AFTER_ATTN,b10_AFTER_FFN,true,16,2.71005e+06,0.00306207,0.0930017,97,93,95,109,0,0,-2,-16,MIXED
L18_SEED_2_CONTROL,b10_AFTER_FFN,b11_AFTER_ATTN,true,16,2.35479e+06,0.00517681,0.0483228,92,96,94,96,0.5,1,2,0,MIXED
L18_SEED_2_CONTROL,b11_AFTER_ATTN,b11_AFTER_FFN,true,16,971355,0.002477,0.10006,92,91,113,97,0,0,-22,-6,MIXED
L18_SEED_2_CONTROL,b11_AFTER_FFN,b12_AFTER_ATTN,true,16,912184,0.00235425,0.050736,92,96,93,92,0.25,0,3,4,INFORMATION_LOSS
L18_SEED_2_CONTROL,b12_AFTER_ATTN,b12_AFTER_FFN,true,16,489496,0.00176993,0.113537,95,90,72,101,0,0,18,-11,INFORMATION_LOSS
L18_SEED_2_CONTROL,b12_AFTER_FFN,b13_AFTER_ATTN,true,16,767072,0.00262226,0.0449448,89,90,89,101,0,1,1,-11,MIXED
L18_SEED_2_CONTROL,b13_AFTER_ATTN,b13_AFTER_FFN,true,16,711577,0.00255592,0.0911919,91,97,82,95,0,0.666667,15,2,INFORMATION_LOSS
L18_SEED_2_CONTROL,b13_AFTER_FFN,b14_AFTER_ATTN,true,16,636718,0.00199952,0.05339,84,82,92,82,0,0,-10,0,MIXED
L18_SEED_2_CONTROL,b14_AFTER_ATTN,b14_AFTER_FFN,true,16,4.11396e+06,0.00363846,0.0933647,82,82,77,81,0,0,5,1,INFORMATION_LOSS
L18_SEED_2_CONTROL,b14_AFTER_FFN,b15_AFTER_ATTN,true,16,4.29453e+06,0.00296865,0.0544177,80,78,95,92,0,0,-17,-14,MIXED
L18_SEED_2_CONTROL,b15_AFTER_ATTN,b15_AFTER_FFN,true,16,4.1088e+06,0.00297554,0.0885479,80,83,73,78,0,0,10,5,INFORMATION_LOSS
L18_SEED_2_CONTROL,b15_AFTER_FFN,b16_AFTER_ATTN,true,16,2.5499e+06,0.00283395,0.0486849,81,78,97,78,0,0,-19,0,MIXED
L18_SEED_2_CONTROL,b16_AFTER_ATTN,b16_AFTER_FFN,true,16,4.16388e+06,0.00215341,0.0845466,81,81,81,81,0,0,0,0,MIXED
L18_SEED_2_CONTROL,b16_AFTER_FFN,b17_AFTER_ATTN,true,16,2.38603e+06,0.00378733,0.0582159,78,91,70,94,0,1,21,-3,INFORMATION_LOSS
L18_SEED_2_CONTROL,b17_AFTER_ATTN,b17_AFTER_FFN,true,16,1.83866e+06,0.00329395,0.0816737,78,78,89,80,0,0,-11,-2,MIXED
