configuration_id,tap_id,tap_name,kind,block,dim,selected_step,finite,train_tf_token_exact,cal_tf_token_exact,dev_tf_token_exact,dev_tf_mean_rank,dev_tf_mean_nll,dev_tf_mean_margin,dev_tf_margin_q10,dev_tf_top2,dev_tf_top3
L19_SEED_1,114,b17_ATT_UPDATE,ATT_UPDATE,17,16,25,true,15,29,20,11.5555555556,3.63797222531,-1.97281762462,-7.53701770343,40,57
L19_SEED_1,115,b17_AFTER_ATTN,AFTER_ATTN,17,16,50,true,28,88,88,2.58333333333,1.34455561287,0.126724259924,-3.91401310473,106,125
L19_SEED_1,116,b17_NORM2,NORM2,17,16,50,true,28,88,89,2.75694444444,1.44875098192,-0.0445802452448,-4.31066241722,105,122
L19_SEED_1,117,b17_FFN_UPDATE,FFN_UPDATE,17,16,75,true,28,90,94,2.75694444444,1.52754355497,-0.0697529258067,-5.47575453039,111,123
L19_SEED_1,118,b17_AFTER_FFN,AFTER_FFN,17,16,50,true,28,88,88,2.53472222222,1.34312578617,0.125645566505,-3.88945220802,107,125
L19_SEED_1,119,b18_NORM1,NORM1,18,16,50,true,28,88,89,2.65972222222,1.4356124916,-0.0287704647927,-4.26551464953,105,122
L19_SEED_1,120,b18_CTX,CTX,18,16,25,true,16,6,3,10.6111111111,3.41909363306,-1.88549938159,-7.00404059436,40,46
L19_SEED_1,121,b18_ATT_UPDATE,ATT_UPDATE,18,16,25,true,15,21,16,10.7013888889,3.56016221419,-1.91456674355,-8.05616259775,44,50
L19_SEED_1,122,b18_AFTER_ATTN,AFTER_ATTN,18,16,50,true,28,86,88,2.79861111111,1.41987519106,0.0433457218055,-4.09049097083,105,124
L19_SEED_1,123,b18_NORM2,NORM2,18,16,50,true,28,88,90,2.74305555556,1.47144975962,-0.0848980183395,-4.33211073215,104,121
L19_SEED_1,124,b18_FFN_UPDATE,FFN_UPDATE,18,16,50,true,28,83,83,3.84722222222,1.88408104684,-0.598885837748,-6.12597751117,98,109
L19_SEED_1,125,b18_AFTER_FFN,AFTER_FFN,18,16,50,true,28,86,88,2.76388888889,1.42665693726,0.0319131124259,-4.10017720416,105,124
L19_SEED_2,0,EMBEDDING,EMBEDDING,,16,2000,true,28,144,144,1,0.103093851008,6.33136805781,0.693687903621,144,144
L19_SEED_2,1,b00_NORM1,NORM1,0,16,2000,true,28,144,144,1,0.103099823636,6.29980219996,0.693558536353,144,144
L19_SEED_2,2,b00_ATT_UPDATE,ATT_UPDATE,0,16,50,true,31,76,74,2.42361111111,1.33934319396,0.0180177724609,-2.48466267392,114,129
L19_SEED_2,3,b00_AFTER_ATTN,AFTER_ATTN,0,16,150,true,30,134,131,1.09027777778,0.229276121841,2.98622030328,-0.386269553069,144,144
L19_SEED_2,4,b00_NORM2,NORM2,0,16,150,true,30,134,133,1.07638888889,0.211839141105,3.08650477046,-0.304133466656,144,144
L19_SEED_2,5,b00_FFN_UPDATE,FFN_UPDATE,0,16,300,true,29,139,139,1.03472222222,0.190041574398,2.70220225235,0.144435675517,144,144
L19_SEED_2,6,b00_AFTER_FFN,AFTER_FFN,0,16,225,true,29,139,138,1.04166666667,0.210853728206,2.92412628884,-0.236641854759,144,144
L19_SEED_2,7,b01_NORM1,NORM1,1,16,225,true,30,134,134,1.06944444444,0.185736617044,3.00522133335,-0.0728618745759,144,144
L19_SEED_2,8,b01_CTX,CTX,1,16,75,true,31,86,87,2.125,1.15741774355,0.760219342622,-3.9856068064,116,128
L19_SEED_2,9,b01_ATT_UPDATE,ATT_UPDATE,1,16,75,true,32,78,83,2.40277777778,1.41278826789,0.117003927803,-4.21070800782,111,122
L19_SEED_2,10,b01_AFTER_ATTN,AFTER_ATTN,1,16,175,true,31,127,126,1.125,0.295231326234,2.51782157378,-0.735325445653,144,144
L19_SEED_2,11,b01_NORM2,NORM2,1,16,150,true,30,133,130,1.09722222222,0.28041483602,2.63992260791,-0.808464429777,144,144
L19_SEED_2,12,b01_FFN_UPDATE,FFN_UPDATE,1,16,275,true,29,139,135,1.0625,0.253870490928,2.55130652489,-0.571209848581,144,144
L19_SEED_2,13,b01_AFTER_FFN,AFTER_FFN,1,16,225,true,31,126,124,1.13888888889,0.277141184256,2.51652356676,-0.666216062248,144,144
L19_SEED_2,14,b01_RELU,RELU,1,32,25,true,20,43,42,4.15972222222,1.95789552902,-1.07946832729,-5.42824961688,112,117
L19_SEED_2,15,b02_NORM1,NORM1,2,16,200,true,30,132,130,1.09722222222,0.293717506215,2.5260013327,-1.05957529064,144,144
L19_SEED_2,16,b02_ATT_UPDATE,ATT_UPDATE,2,16,75,true,32,69,58,3.11805555556,1.86446711182,-0.499195425094,-4.6957925234,91,101
L19_SEED_2,17,b02_AFTER_ATTN,AFTER_ATTN,2,16,175,true,31,126,120,1.16666666667,0.380482059617,2.09356530958,-1.1960678932,144,144
L19_SEED_2,18,b02_NORM2,NORM2,2,16,175,true,31,123,121,1.15972222222,0.38731563913,2.28466335384,-1.83403386524,144,144
L19_SEED_2,19,b02_FFN_UPDATE,FFN_UPDATE,2,16,300,true,29,135,135,1.09722222222,0.293442338741,2.22152760901,-0.617579479395,139,144
L19_SEED_2,20,b02_AFTER_FFN,AFTER_FFN,2,16,225,true,31,124,119,1.17361111111,0.365010104659,2.08794190795,-1.15152157583,144,144
L19_SEED_2,21,b03_NORM1,NORM1,3,16,200,true,30,126,126,1.125,0.378569334206,2.20423989834,-1.69118767603,144,144
L19_SEED_2,22,b03_ATT_UPDATE,ATT_UPDATE,3,16,50,true,32,54,59,3.15277777778,1.75330717611,-0.405852115643,-3.81818049578,112,127
